ZipsServed,SCF,City,Zip,Sac,Den,Atl,Bal
719,HOT SPRINGS NATIONAL PARK,HOT SPRINGS NATIONAL PARK,71913-9998,7,5,4,5
716,PINE BLUFF,PINE BLUFF,71601-5004,7,5,4,5
772,HOUSTON,HOUSTON,77201-9998,6,5,5,6
795,ABILENE,ABILENE,79601-9997,6,4,5,6
786,AUSTIN,AUSTIN,78710-9998,7,5,5,6
510,SIOUX CITY,SIOUX CITY,51111-9997,7,4,5,6
669,SALINA,SALINA,67401-9998,6,4,5,6
690,MC COOK,MC COOK,69001-9998,6,3,6,6
705,LAFAYETTE,LAFAYETTE,70501-3601,7,5,4,6
710,SHREVEPORT,SHREVEPORT,71102-9998,7,5,4,6
743,TULSA P & DC,TULSA,74141-9997,6,4,5,6
730,OKLAHOMA CITY,OKLAHOMA CITY,73125-9100,6,4,5,6
570,SIOUX FALLS,SIOUX FALLS,57104-9300,6,4,5,6
580,FARGO,FARGO,58102-4702,6,5,6,6
565,DETROIT LAKES,DETROIT LAKES,56501-9998,6,5,6,6
590,BILLINGS,BILLINGS,59101-4561,5,4,7,7
6,SAN JUAN,SAN JUAN,00936-9312,8,8,7,7
845,PROVO,PROVO,84606-9998,4,4,7,7
797,MIDLAND,MIDLAND,79711-9996,6,4,6,7
873,GALLUP,GALLUP,87301-9998,5,4,6,7
865,GALLUP,GALLUP,87301-9998,5,4,6,7
870,ALBUQUERQUE,ALBUQUERQUE,87101-0001,5,4,6,7
793,LUBBOCK,LUBBOCK,79402-9998,6,4,5,7
785,MCALLEN,MCALLEN,78501-9998,7,5,5,7
820,CHEYENNE,CHEYENNE,82009-9997,5,2,6,7
840,SALT LAKE CITY,SALT LAKE CITY,84199-9997,4,4,7,8
829,ROCK SPRINGS,,-,5,3,6,8
863,PRESCOTT SCF,PRESCOTT,86301-9998,5,4,7,8
893,ELY,ELY,89301-3140,4,5,7,8
889,LAS VEGAS,LAS VEGAS,89199-9998,4,5,7,8
850,PHOENIX SCF,PHOENIX,85026-9800,5,4,7,8
859,SHOW LOW,SHOW LOW,85901-9998,5,4,7,8
855,GLOBE SCF,GLOBE,85501-1494,5,4,7,8
930,OXNARD,OXNARD,93030-8989,4,5,8,8
970,PORTLAND,PORTLAND,97208-8098,4,5,8,8
988,WENATCHEE,WENATCHEE,98801-9777,4,5,8,8
967,HONOLULU,HONOLULU,96820-9500,8,8,8,8
900,LOS ANGELES,LOS ANGELES,90052-9998,4,5,8,8
897,RENO,RENO,89510-9991,2,5,8,8
910,PASADENA,PASADENA,91109-9997,4,5,8,8
598,MISSOULA,MISSOULA,59801-9998,5,5,7,8
962,SAN FRANCISCO,SAN FRANCISCO,94188-,2,5,8,8+
969,BARRIGADA,BARRIGADA,96913-9998,9,9,9,9+
